epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,33482.9,0.89299,1.07923,1.39926,0.61159,0.57681,0.60719,0.41202,0.72851,0.75145,1.05872,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,34464.4,0.88573,1.04725,1.39229,0.61913,0.58669,0.61396,0.41461,0.73206,0.75825,1.06337,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,35443.6,0.89291,1.04367,1.40462,0.6217,0.58864,0.60768,0.41263,0.73296,0.75806,1.06603,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,36416.3,0.87929,1.02471,1.39258,0.623,0.59115,0.61297,0.41662,0.73049,0.74942,1.06864,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,37390.1,0.87665,1.02194,1.38771,0.62686,0.59227,0.62064,0.42445,0.73054,0.72403,1.07447,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,38358.6,0.86723,1.00349,1.37996,0.629,0.59596,0.63412,0.43392,0.728,0.72306,1.07497,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,39334.6,0.86613,0.98098,1.37782,0.64995,0.57378,0.63487,0.43524,0.72435,0.71201,1.06594,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,40307,0.86454,0.97265,1.37295,0.61158,0.61099,0.63634,0.43675,0.72166,0.70793,1.06137,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,41281.1,0.85289,0.9585,1.37423,0.64406,0.58518,0.63612,0.43687,0.71977,0.70747,1.05646,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,42223.9,0.73274,0.65906,1.29296,0.65415,0.59511,0.64241,0.44053,0.71559,0.70192,1.0488,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,43151.1,0.71979,0.6272,1.28145,0.65711,0.59624,0.64154,0.44268,0.71486,0.69811,1.04563,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,44078.5,0.70698,0.60031,1.26694,0.651,0.5931,0.63999,0.43981,0.71636,0.68898,1.04671,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,45005.7,0.70195,0.59272,1.26001,0.6302,0.59938,0.63771,0.43761,0.71739,0.68166,1.04641,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,45927.1,0.69247,0.56735,1.24436,0.6237,0.61082,0.63994,0.43791,0.71685,0.68131,1.0453,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,46834.5,0.67294,0.54128,1.22909,0.61821,0.6135,0.63847,0.43574,0.71834,0.68519,1.04701,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,47739.6,0.66973,0.53224,1.22028,0.6306,0.63097,0.63593,0.43349,0.72028,0.68783,1.04876,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,48644.8,0.66104,0.51351,1.21366,0.64294,0.62587,0.63459,0.43116,0.72041,0.69258,1.04878,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,49551.6,0.65363,0.50381,1.2083,0.64027,0.61831,0.63081,0.42845,0.72056,0.69445,1.04915,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,50457.2,0.64891,0.49229,1.20053,0.6359,0.6212,0.6295,0.42715,0.72176,0.69688,1.05059,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
